time stock-price decision number-of-stocks portfolio-value
789 193.79 -5 0 30205.0
790 193.86 -3 0 30205.0
791 194 1 50 30205.0
792 193.97 3 100 30203.5
793 193.79 1 150 30185.5
794 193.83 -1 100 30191.5
795 193.685 -3 50 30177.0
796 193.67 -5 0 30176.25
797 193.67 -5 0 30176.25
798 193.61 -5 0 30176.25
799 193.42 -1 0 30176.25
800 193.42 -5 0 30176.25
801 193.55 -1 0 30176.25
802 193.58 1 50 30176.25
803 193.6 3 100 30177.25
804 193.39 1 150 30156.249999999996
805 193.47 -1 100 30168.25
806 193.39 -3 50 30160.25
807 193.345 -5 0 30158.0
808 193.29 -5 0 30158.0
809 193.32 -3 0 30158.0
810 193.46 -1 0 30158.0
811 193.3 3 50 30158.0
812 193.2 -1 0 30153.0
813 193.295 -3 0 30153.0
814 193.17 -3 0 30153.0
815 193.28 -3 0 30153.0
816 193.23 -1 0 30153.0
817 193.17 1 50 30153.0
818 193.12 -3 0 30150.5
819 193.14 -3 0 30150.5
820 193.28 -1 0 30150.5
821 193.27 1 50 30150.5
822 193.23 1 100 30148.5
823 193.07 -1 50 30132.5
824 192.91 -3 0 30124.5
825 192.89 -5 0 30124.5
826 192.83 -5 0 30124.5
827 192.98 -1 0 30124.5
828 192.97 1 50 30124.5
829 192.97 1 100 30124.5
830 192.99 3 150 30126.5
831 192.85 1 150 30105.5
832 192.77 -3 100 30093.5
833 192.88 -3 50 30104.5
834 192.7 -1 0 30095.5
835 192.78 -3 0 30095.5
836 192.9 -1 0 30095.5
837 192.94 1 50 30095.5
838 192.94 3 100 30095.5
839 192.89 1 150 30090.499999999996
840 192.6 -1 100 30047.0
841 192.61 -3 50 30048.0
842 192.53 -5 0 30044.0
843 192.44 -5 0 30044.0
844 192.39 -5 0 30044.0
845 192.58 -1 0 30044.0
846 192.6 1 50 30044.0
847 192.66 5 100 30047.0
848 192.54 1 150 30035.0
849 192.59 -1 100 30042.5
850 192.52 -1 50 30035.5
851 192.51 -5 0 30035.0
852 192.44 -5 0 30035.0
853 192.16 -1 0 30035.0
854 192.31 -3 0 30035.0
855 192.19 -3 0 30035.0
856 192.13 -3 0 30035.0
857 192.095 -5 0 30035.0
858 192.21 -1 0 30035.0
859 192.25 1 50 30035.0
860 192.32 3 100 30038.5
861 192.38 5 150 30044.5
862 192.41 5 150 30049.0
863 192.56 5 150 30071.5
864 192.47 3 150 30058.0
865 192.55 3 150 30070.0
866 192.62 3 150 30080.5
867 192.56 3 150 30071.5
868 192.72 3 150 30095.5
869 192.75 5 150 30100.0
870 192.7 3 150 30092.5
871 192.83 3 150 30112.000000000004
872 192.83 3 150 30112.000000000004
873 192.82 3 150 30110.5
874 192.84 3 150 30113.5
875 192.72 1 150 30095.5
876 192.72 1 150 30095.5
877 192.63 -3 100 30082.0
878 192.76 -3 50 30095.0
879 192.76 -1 0 30095.0
880 192.66 1 50 30095.0
881 192.75 -1 0 30099.5
882 192.795 1 50 30099.5
883 192.805 3 100 30100.0
884 192.8 3 150 30099.5
885 192.88 5 150 30111.5
886 192.97 3 150 30125.0
887 193.06 5 150 30138.5
888 193.05 3 150 30137.0
889 193.055 3 150 30137.75
890 193.14 3 150 30150.499999999996
891 193.06 3 150 30138.5
892 192.96 1 150 30123.5
893 193 -3 100 30129.5
894 193.04 -1 50 30133.5
895 193.05 1 100 30134.0
896 193.24 3 150 30153.0
897 193.21 3 150 30148.5
898 193.17 1 150 30142.499999999996
899 193.28 3 150 30159.0
900 193.18 3 150 30144.0
901 193.09 1 150 30130.5
902 193.175 -3 100 30143.25
903 193.27 -1 50 30152.75
904 193.29 3 100 30153.75
905 193.28 3 150 30152.75
906 193.29 3 150 30154.25
907 193.325 1 150 30159.5
908 193.325 1 150 30159.5
909 193.37 3 150 30166.25
910 193.36 3 150 30164.750000000004
911 193.36 3 150 30164.750000000004
912 193.14 1 150 30131.749999999996
913 193.19 -3 100 30139.25
914 193.09 -5 50 30129.25
915 193.09 -5 0 30129.25
916 193.17 -3 0 30129.25
917 193.17 -3 0 30129.25
918 193.3 -1 0 30129.25
919 193.28 3 50 30129.25
920 193.36 5 100 30133.25
921 193.19 1 150 30116.25
922 193.22 -1 100 30120.75
923 193.25 -1 50 30123.75
924 193.19 -3 0 30120.75
925 193.11 -3 0 30120.75
926 193.08 -5 0 30120.75
927 193.04 -5 0 30120.75
928 192.98 -5 0 30120.75
929 192.97 -5 0 30120.75
930 193.09 -1 0 30120.75
931 193.33 1 50 30120.75
932 193.33 1 100 30120.75
933 193.56 3 150 30143.75
934 193.45 3 150 30127.25
935 193.38 1 150 30116.75
936 193.41 1 150 30121.25
