time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
665 195.5 195.63875000000002 195.75500000000002 1408.0 1960 0 30017.0
666 195.26 195.45625 195.645 1485.3333333333333 1869 0 30017.0
667 195.43 195.405 195.549 1548.3333333333333 816 0 30017.0
668 195.22 195.2825 195.443 1449.6666666666667 1664 0 30017.0
669 195.22 195.27249999999998 195.32600000000002 2043.6666666666667 3651 0 30017.0
670 195.4 195.31 195.30600000000004 2356.6666666666665 1755 0 30017.0
671 195.39 195.35 195.33200000000002 2112.0 930 0 30017.0
672 195.43 195.4125 195.33200000000002 1432.0 1611 25 30017.0
673 195.47 195.44 195.382 1254.3333333333333 1222 25 30018.0
674 195.54 195.495 195.44600000000003 1377.6666666666667 1300 25 30019.75
675 195.39 195.4475 195.44400000000002 883.6666666666666 129 25 30016.0
676 195.52 195.4925 195.47000000000003 861.3333333333334 1155 0 30019.25
677 195.38 195.4175 195.46 778.0 1050 0 30019.25
678 195.4 195.425 195.44600000000003 1954.6666666666667 3659 0 30019.25
679 195.515 195.4525 195.44100000000003 2097.3333333333335 1583 0 30019.25
680 195.51 195.48375 195.46500000000003 2082.3333333333335 1005 0 30019.25
681 195.42 195.46625 195.44500000000002 1043.0 541 0 30019.25
682 195.36 195.4125 195.44100000000003 686.0 512 0 30019.25
683 195.34 195.365 195.42900000000003 619.3333333333334 805 0 30019.25
684 195.23 195.29000000000002 195.372 672.3333333333334 700 0 30019.25
685 195.32 195.3025 195.334 550.0 145 0 30019.25
686 195.4 195.33749999999998 195.33 525.6666666666666 732 0 30019.25
687 195.46 195.41000000000003 195.35000000000002 878.0 1757 0 30019.25
688 195.43 195.43 195.36800000000002 1000.6666666666666 513 0 30019.25
689 195.38 195.4125 195.39800000000002 1157.3333333333333 1202 25 30019.25
690 195.4 195.4025 195.41400000000002 838.3333333333334 800 25 30019.75
691 195.25 195.32 195.38400000000004 1459.3333333333333 2376 0 30016.0
692 195.33 195.3275 195.35800000000003 1283.0 673 0 30016.0
693 195.21 195.25 195.31400000000002 1477.6666666666667 1384 0 30016.0
694 195.16 195.215 195.27 825.6666666666666 420 0 30016.0
695 195.16 195.1725 195.22200000000004 1899.6666666666667 3895 0 30016.0
696 195.13 195.14499999999998 195.19800000000004 1750.3333333333333 936 0 30016.0
697 195.25 195.1975 195.18200000000004 2042.0 1295 0 30016.0
698 195.4 195.29500000000002 195.22000000000003 897.3333333333334 461 0 30016.0
699 195.48 195.40249999999997 195.28400000000002 1032.0 1340 25 30016.0
700 195.51 195.475 195.354 2371.6666666666665 5314 50 30016.75
